##        Q2         GEp/GD        dGEp/GD    GEp/GD(all)       GMp/muGD      dGMp/muGD dGMp/muGD(all)     GEp/GD(Mz)   GMp/muGD(Mz)
  7.3282e-06   9.999964e-01   1.258466e-06   9.999964e-01   9.999979e-01   1.717526e-06   9.999979e-01   9.999964e-01   9.999979e-01
  7.4131e-06   9.999964e-01   1.273035e-06   9.999964e-01   9.999979e-01   1.737410e-06   9.999979e-01   9.999964e-01   9.999979e-01
  7.4989e-06   9.999963e-01   1.287772e-06   9.999963e-01   9.999979e-01   1.757523e-06   9.999979e-01   9.999963e-01   9.999979e-01
  7.5858e-06   9.999963e-01   1.302681e-06   9.999963e-01   9.999979e-01   1.777869e-06   9.999979e-01   9.999963e-01   9.999979e-01
  7.6736e-06   9.999962e-01   1.317762e-06   9.999962e-01   9.999978e-01   1.798451e-06   9.999978e-01   9.999962e-01   9.999978e-01
  7.7625e-06   9.999962e-01   1.333017e-06   9.999962e-01   9.999978e-01   1.819271e-06   9.999978e-01   9.999962e-01   9.999978e-01
  7.8524e-06   9.999962e-01   1.348449e-06   9.999962e-01   9.999978e-01   1.840331e-06   9.999978e-01   9.999962e-01   9.999978e-01
  7.9433e-06   9.999961e-01   1.364060e-06   9.999961e-01   9.999978e-01   1.861636e-06   9.999978e-01   9.999961e-01   9.999978e-01
  8.0353e-06   9.999961e-01   1.379851e-06   9.999961e-01   9.999977e-01   1.883187e-06   9.999977e-01   9.999961e-01   9.999977e-01
  8.1283e-06   9.999960e-01   1.395825e-06   9.999960e-01   9.999977e-01   1.904988e-06   9.999977e-01   9.999960e-01   9.999977e-01
  8.2224e-06   9.999960e-01   1.411984e-06   9.999960e-01   9.999977e-01   1.927040e-06   9.999977e-01   9.999960e-01   9.999977e-01
